order,projection_err,intrusive_state_err,intrusive_output_err,inferred_state_err,inferred_output_err
4,0.009336426712465361,0.013881480164893692,0.3527646468298987,0.013774738996658315,0.3539238039503366
5,0.004577371280141705,0.006590810245009156,0.33564712894107046,0.006531610494958815,0.3370257588302298
6,0.00218244948249103,0.0030760106658300384,0.3240438576015863,0.0030603651145740774,0.3249562344862923
7,0.0010367380020018969,0.0014289964634258277,0.3156246469251787,0.0014341927910773557,0.3167180358513813
8,0.0004894497374803321,0.0006610408354891459,0.3099410464350103,0.0006857111141384272,0.3108303400209475
9,0.00023079842643067687,0.00030545812418373457,0.306640269639421,0.00034304486837852195,0.3077061765218917
10,0.00010926184539755781,0.0001419573707896167,0.3064778245441563,0.0001979172455231578,0.3073179409192395
11,5.191327440075827e-5,6.635521758827507e-5,0.3100451495316802,0.0001426020112456751,0.3103219331947047
12,2.46916501669571e-5,3.114220736804394e-5,0.31599496061691884,0.00013263958849791768,0.3166550187032692
13,1.167723919710985e-5,1.4556834122879904e-5,0.32545884388793456,0.0001436368713034881,0.3259420174572091
14,5.463728084354277e-6,6.744916585382546e-6,0.3370083210274523,0.00014745221182201686,0.33827589210366915
15,2.5137865650563707e-6,3.075951193627162e-6,0.35424325712050697,0.0001761136226035753,0.35315425083661783
16,1.131776077102169e-6,1.3741467195248532e-6,0.37316388874194234,0.0001827276298528625,0.3715640933635192
17,4.96078692244445e-7,5.976116823439099e-7,0.39714555442190713,0.0002022721843994507,0.39272903550380467
18,2.1154759609626437e-7,2.529163259583537e-7,0.42683002932200553,0.0002478600797597004,0.41831547250253964
19,8.759324437800793e-8,1.0391281205033168e-7,0.4580751485986698,0.00022337107126909331,0.4470422482625449
20,3.5217024971909286e-8,4.1460268301227106e-8,0.495677172917835,0.0003714170962439103,0.4826837680757852
21,1.3725294684710185e-8,1.603449261715199e-8,0.5305260448700572,0.00024012981234317423,0.5227355667683599
22,5.186249296786296e-9,6.012822968893787e-9,0.5555495701611974,0.0003915017846931711,0.5715392235174449
23,1.8983734477338186e-9,2.1843047092893295e-9,0.6012781429050319,0.0003204700244997933,0.6266808002862768
24,6.735009892423203e-10,7.692477737385662e-10,0.6743653771652883,0.00029351868508175553,0.6877952644882774
25,2.3122743701710995e-10,2.622022822843185e-10,0.7702899967947474,0.0016886191727253322,0.9185357231582618
