order,projection_err,intrusive_state_err,intrusive_output_err,inferred_state_err,inferred_output_err
4,2.016673895426055e-5,0.0036492627660245055,0.3057525905436049,0.0036487599680844287,0.30534054274083317
5,5.945548945639994e-6,0.0005344293071449105,0.30568518194983507,0.0005343195968317063,0.30430861671297427
6,2.241919501688007e-6,0.00015774524305444182,0.304665523815688,0.000157603119777667,0.3032943462805831
7,8.915634506751716e-7,3.6605954120035955e-5,0.3045300935034014,3.66192867289753e-5,0.30283905313689813
8,3.4857180674896606e-7,8.675690698175655e-6,0.30438293192162075,8.611953216284606e-6,0.3024077806580463
9,1.3297550179599162e-7,1.8924678023353147e-6,0.3048212206530282,1.923538388500972e-6,0.3020950095757351
10,4.946151487967344e-8,4.003515016487392e-7,0.3058428317382396,3.973016113320033e-7,0.30184987070369307
11,1.7943436567875962e-8,8.21437710096119e-8,0.3079011626172299,1.4780290046726104e-7,0.3016552812604266
12,6.3542048224672264e-9,1.7694565344707937e-8,0.31091805146886664,7.600777703316629e-8,0.3014890629515271
13,2.1933435545475847e-9,4.201616645111326e-9,0.3137511583350038,4.777402126170409e-8,0.3013998930886528
14,7.384468593250421e-10,1.1179861304439372e-9,0.3150904722329642,1.7923572763718176e-8,0.3010902081233168
