order,projection_err,intrusive_state_err,intrusive_output_err,inferred_state_err,inferred_output_err
1,0.053951834572477694,0.11400966096979834,0.10790396426384849,0.1135015243175515,0.10734163832239821
2,0.009523345944400578,0.014577198982558243,0.003985696810001841,0.014485461132880939,0.003942272338677027
3,0.0024050009361262967,0.003350366784985001,0.0004424439245723341,0.0033251305288500162,0.0004357629246602782
4,0.0007074212888593111,0.0009412025090338642,5.330313618663332e-5,0.0009324347756247893,5.201627335849923e-5
5,0.00023436196863417058,0.000303013921711887,8.569589865141495e-6,0.000299026556979599,8.167918997888178e-6
6,8.287198380640357e-5,0.00010509077458174737,1.2970649216501509e-6,0.00010262785715504794,1.1601527414243206e-6
7,2.96332463467021e-5,3.703267417835091e-5,1.9114972674160172e-7,3.5131947192078555e-5,1.4310810820611192e-7
8,1.0360091649612862e-5,1.2789832569697703e-5,2.5360217128079683e-8,1.1287140328088312e-5,1.3516100351041448e-8
